icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,z_score_max,zscore_anomaly,turning_anomaly
a4000f,10058.4,10058.4,10058.399999999998,212.18,212.68,212.56461538461537,0.0275000000000034,0.0067999999999983,2776.0,0.5754169981919851,False,False
a4009e,10972.8,10980.42,10973.201052631575,216.16,216.16,216.16,0.0004999999999952,0.0013999999999896,2038.0,0.8217002342153512,False,False
a40312,2415.54,2415.54,2415.54,127.23,127.23,127.23,0.0,0.0,17.0,1.8345513785727323,False,False
a403b3,7665.72,7955.28,7815.332195121951,251.86,252.94,252.3260975609756,0.0087000000000045,0.1086000000000098,3184.0,0.8763523944683708,False,False
a40654,6705.6,6705.6,6705.599999999999,212.46,212.94,212.6921839080459,0.0645000000000024,0.0320999999999997,2379.0,0.5314402902366264,False,False
a40694,10561.32,10584.18,10570.583529411764,266.72,266.72,266.72,0.0045000000000001,0.0130000000000052,1770.0,1.154314677329162,False,False
a406c9,7917.18,8732.52,8002.927951807228,245.15,257.94,250.8010843373494,0.1629999999999967,0.1975999999999942,3306.0,0.9616848039367577,False,False
a4076a,10111.74,10248.9,10186.280198019804,219.9,223.08,221.289207920792,0.0606000000000008,0.0529999999999972,3206.0,0.8834976789614303,False,False
a4077d,5730.24,5829.3,5761.428837209301,202.68,204.3,203.0358139534884,0.0050999999999987,0.0249999999999914,2739.0,0.7855810064742023,False,False
a4095f,8503.92,8618.22,8564.077894736838,223.48,223.89,223.6526315789473,0.0180000000000006,0.0167000000000001,1027.0,0.8201997742509535,False,False
